Type,Function,Digit,Time(ms)
i32toa_sequential,mwilson,1,0.585000
i32toa_sequential,mwilson,2,0.895000
i32toa_sequential,mwilson,3,1.226000
i32toa_sequential,mwilson,4,1.534000
i32toa_sequential,mwilson,5,1.866000
i32toa_sequential,mwilson,6,2.181000
i32toa_sequential,mwilson,7,2.522000
i32toa_sequential,mwilson,8,2.857000
i32toa_sequential,mwilson,9,3.176000
i32toa_sequential,mwilson,10,3.480000
i32toa_random,mwilson,0,29.234000
i32toa_sequential,countlut,1,0.600000
i32toa_sequential,countlut,2,0.670000
i32toa_sequential,countlut,3,0.816000
i32toa_sequential,countlut,4,0.849000
i32toa_sequential,countlut,5,1.148000
i32toa_sequential,countlut,6,1.179000
i32toa_sequential,countlut,7,1.397000
i32toa_sequential,countlut,8,1.418000
i32toa_sequential,countlut,9,1.574000
i32toa_sequential,countlut,10,1.569000
i32toa_random,countlut,0,19.683000
i32toa_sequential,branchlut,1,0.635000
i32toa_sequential,branchlut,2,0.661000
i32toa_sequential,branchlut,3,0.730000
i32toa_sequential,branchlut,4,0.739000
i32toa_sequential,branchlut,5,1.038000
i32toa_sequential,branchlut,6,1.086000
i32toa_sequential,branchlut,7,1.096000
i32toa_sequential,branchlut,8,1.104000
i32toa_sequential,branchlut,9,1.272000
i32toa_sequential,branchlut,10,1.298000
i32toa_random,branchlut,0,17.637000
i32toa_sequential,count,1,0.783000
i32toa_sequential,count,2,0.915000
i32toa_sequential,count,3,1.188000
i32toa_sequential,count,4,1.400000
i32toa_sequential,count,5,1.585000
i32toa_sequential,count,6,1.743000
i32toa_sequential,count,7,1.959000
i32toa_sequential,count,8,2.183000
i32toa_sequential,count,9,2.421000
i32toa_sequential,count,10,2.657000
i32toa_random,count,0,25.366000
i32toa_sequential,sse2,1,0.556000
i32toa_sequential,sse2,2,0.600000
i32toa_sequential,sse2,3,0.621000
i32toa_sequential,sse2,4,0.652000
i32toa_sequential,sse2,5,0.912000
i32toa_sequential,sse2,6,0.947000
i32toa_sequential,sse2,7,0.962000
i32toa_sequential,sse2,8,0.981000
i32toa_sequential,sse2,9,0.858000
i32toa_sequential,sse2,10,0.865000
i32toa_random,sse2,0,15.264000
u64toa_sequential,null,1,0.185000
u64toa_sequential,null,2,0.191000
u64toa_sequential,null,3,0.185000
u64toa_sequential,null,4,0.185000
u64toa_sequential,null,5,0.185000
u64toa_sequential,null,6,0.185000
u64toa_sequential,null,7,0.185000
u64toa_sequential,null,8,0.185000
u64toa_sequential,null,9,0.185000
u64toa_sequential,null,10,0.185000
u64toa_sequential,null,11,0.185000
u64toa_sequential,null,12,0.185000
u64toa_sequential,null,13,0.185000
u64toa_sequential,null,14,0.185000
u64toa_sequential,null,15,0.185000
u64toa_sequential,null,16,0.185000
u64toa_sequential,null,17,0.185000
u64toa_sequential,null,18,0.185000
u64toa_sequential,null,19,0.185000
u64toa_sequential,null,20,0.185000
u64toa_random,null,0,3.694000
u64toa_sequential,lut,1,0.628000
u64toa_sequential,lut,2,0.578000
u64toa_sequential,lut,3,1.807000
u64toa_sequential,lut,4,1.898000
u64toa_sequential,lut,5,3.057000
u64toa_sequential,lut,6,3.144000
u64toa_sequential,lut,7,4.302000
u64toa_sequential,lut,8,4.394000
u64toa_sequential,lut,9,5.572000
u64toa_sequential,lut,10,5.647000
u64toa_sequential,lut,11,6.741000
u64toa_sequential,lut,12,6.829000
u64toa_sequential,lut,13,8.932000
u64toa_sequential,lut,14,9.016000
u64toa_sequential,lut,15,10.800000
u64toa_sequential,lut,16,10.977000
u64toa_sequential,lut,17,12.643000
u64toa_sequential,lut,18,12.766000
u64toa_sequential,lut,19,14.593000
u64toa_sequential,lut,20,14.656000
u64toa_random,lut,0,177.160000
u64toa_sequential,naive,1,1.576000
u64toa_sequential,naive,2,2.708000
u64toa_sequential,naive,3,3.872000
u64toa_sequential,naive,4,5.008000
u64toa_sequential,naive,5,6.239000
u64toa_sequential,naive,6,7.362000
u64toa_sequential,naive,7,8.617000
u64toa_sequential,naive,8,9.799000
u64toa_sequential,naive,9,11.084000
u64toa_sequential,naive,10,12.270000
u64toa_sequential,naive,11,13.473000
u64toa_sequential,naive,12,16.023000
u64toa_sequential,naive,13,17.802000
u64toa_sequential,naive,14,19.981000
u64toa_sequential,naive,15,21.391000
u64toa_sequential,naive,16,22.942000
u64toa_sequential,naive,17,24.645000
u64toa_sequential,naive,18,26.619000
u64toa_sequential,naive,19,28.957000
u64toa_sequential,naive,20,30.488000
u64toa_random,naive,0,319.320000
u64toa_sequential,sprintf,1,9.550000
u64toa_sequential,sprintf,2,9.749000
u64toa_sequential,sprintf,3,10.365000
u64toa_sequential,sprintf,4,10.784000
u64toa_sequential,sprintf,5,11.018000
u64toa_sequential,sprintf,6,11.530000
u64toa_sequential,sprintf,7,12.143000
u64toa_sequential,sprintf,8,12.864000
u64toa_sequential,sprintf,9,13.570000
u64toa_sequential,sprintf,10,14.294000
u64toa_sequential,sprintf,11,12.624000
u64toa_sequential,sprintf,12,12.924000
u64toa_sequential,sprintf,13,13.240000
u64toa_sequential,sprintf,14,13.811000
u64toa_sequential,sprintf,15,14.387000
u64toa_sequential,sprintf,16,15.080000
u64toa_sequential,sprintf,17,15.747000
