Type,Function,Digit,Time(ns)
u64toa_sequential,amartin,9,11.601804
u64toa_sequential,amartin,10,12.003791
u64toa_sequential,amartin,11,17.720946
u64toa_sequential,amartin,12,18.926908
u64toa_sequential,amartin,13,19.027405
u64toa_sequential,amartin,14,20.579523
u64toa_sequential,amartin,15,20.601856
u64toa_sequential,amartin,16,23.248273
u64toa_sequential,amartin,17,22.846285
u64toa_sequential,amartin,18,25.358707
u64toa_sequential,amartin,19,25.347540
u64toa_sequential,amartin,20,31.645343
u64toa_random,amartin,0,25.628932
u64toa_sequential,branchlut,1,4.980178
u64toa_sequential,branchlut,2,6.029811
u64toa_sequential,branchlut,3,6.364801
u64toa_sequential,branchlut,4,6.208472
u64toa_sequential,branchlut,5,10.641500
u64toa_sequential,branchlut,6,11.512473
u64toa_sequential,branchlut,7,12.026124
u64toa_sequential,branchlut,8,12.070789
u64toa_sequential,branchlut,9,20.255700
u64toa_sequential,branchlut,10,22.812786
u64toa_sequential,branchlut,11,23.415768
u64toa_sequential,branchlut,12,23.605595
u64toa_sequential,branchlut,13,24.007582
u64toa_sequential,branchlut,14,24.041081
u64toa_sequential,branchlut,15,24.420736
u64toa_sequential,branchlut,16,24.320239
u64toa_sequential,branchlut,17,25.649031
u64toa_sequential,branchlut,18,25.838858
u64toa_sequential,branchlut,19,26.598168
u64toa_sequential,branchlut,20,27.134151
u64toa_random,branchlut,0,28.327272
u64toa_sequential,branchlut2,1,5.940481
u64toa_sequential,branchlut2,2,6.677458
u64toa_sequential,branchlut2,3,5.940481
u64toa_sequential,branchlut2,4,7.794090
u64toa_sequential,branchlut2,5,6.431799
u64toa_sequential,branchlut2,6,6.677458
u64toa_sequential,branchlut2,7,8.240742
u64toa_sequential,branchlut2,8,8.486401
u64toa_sequential,branchlut2,9,11.143985
u64toa_sequential,branchlut2,10,11.032322
u64toa_sequential,branchlut2,11,13.220920
u64toa_sequential,branchlut2,12,13.232086
u64toa_sequential,branchlut2,13,14.974032
u64toa_sequential,branchlut2,14,14.962865
u64toa_sequential,branchlut2,15,15.878503
u64toa_sequential,branchlut2,16,16.045998
u64toa_sequential,branchlut2,17,19.652719
